round,bet,bankroll_before,bankroll_after,profit_loss_after,peak_bankroll,lowest_bankroll,player_cards,player_total,dealer_visible,dealer_hole_card,dealer_hole_revealed,dealer_final,dealer_total,running_count,true_count,cards_left,result,actions,notes
1,50.0,1000.0,950.0,-50.0,1000.0,950.0,"[A, 6, 8]",15,2,7,True,"[2, 7, J]",19,0,0.0,46,DEALER WIN,Player first card: A | Dealer upcard: 2 | Player second card: 6 | Dealer hole card drawn hidden: 7 | No dealer blackjack peek needed | Player hits: 8 | Player stays | Dealer hole card revealed: 7 | Dealer hits: J,Completed hand
2,50.0,950.0,1000.0,0.0,1000.0,950.0,"[8, A]",19,4,4,True,"[4, 4, 10]",18,0,0.0,41,PLAYER WIN,Player first card: 8 | Dealer upcard: 4 | Player second card: A | Dealer hole card drawn hidden: 4 | No dealer blackjack peek needed | Player stays | Dealer hole card revealed: 4 | Dealer hits: 10,Completed hand
3,50.0,1000.0,1075.0,75.0,1075.0,950.0,"[K, A]",21,K,7,True,"[K, 7]",17,-3,-4.22,37,PLAYER BLACKJACK,Player first card: K | Dealer upcard: K | Player second card: A | Dealer hole card drawn hidden: 7 | Dealer peek: no blackjack | Player blackjack | Dealer hole card revealed: 7,Player blackjack
4,50.0,1075.0,1075.0,75.0,1075.0,950.0,"[6, 4, 3, 5]",18,J,3,True,"[J, 3, 5]",18,2,3.47,30,PUSH,Player first card: 6 | Dealer upcard: J | Player second card: 4 | Dealer hole card drawn hidden: 3 | Dealer peek: no blackjack | Player hits: 3 | Player hits: 5 | Player stays | Dealer hole card revealed: 3 | Dealer hits: 5,Completed hand
5,400.0,1075.0,675.0,-325.0,1075.0,675.0,"[10, 6, 9]",25,9,Q,False,"[9, ?]",Hidden,2,4.16,25,PLAYER BUST,Player first card: 10 | Dealer upcard: 9 | Player second card: 6 | Dealer hole card drawn hidden: Q | No dealer blackjack peek needed | Player hits: 9 | Player busts,Dealer hole card not revealed
6,500.0,675.0,1175.0,175.0,1175.0,675.0,"[J, 10]",20,K,9,True,"[K, 9]",19,-1,-2.48,21,PLAYER WIN,Player first card: J | Dealer upcard: K | Player second card: 10 | Dealer hole card drawn hidden: 9 | Dealer peek: no blackjack | Player stays | Dealer hole card revealed: 9,Completed hand
7,50.0,1175.0,1125.0,125.0,1175.0,675.0,"[Q, 8]",18,2,7,True,"[2, 7, 2, 3, 5]",19,2,7.43,14,DEALER WIN,Player first card: Q | Dealer upcard: 2 | Player second card: 8 | Dealer hole card drawn hidden: 7 | No dealer blackjack peek needed | Player stays | Dealer hole card revealed: 7 | Dealer hits: 2 | Dealer hits: 3 | Dealer hits: 5,Completed hand
8,1000.0,1125.0,2125.0,1125.0,2125.0,675.0,"[J, Q]",20,6,9,True,"[6, 9, 7]",22,1,5.78,9,DEALER BUST,Player first card: J | Dealer upcard: 6 | Player second card: Q | Dealer hole card drawn hidden: 9 | No dealer blackjack peek needed | Player stays | Dealer hole card revealed: 9 | Dealer hits: 7,Completed hand
9,600.0,2125.0,1525.0,525.0,2125.0,675.0,"[8, Q]",18,3,A,True,"[3, A, 2, 4]",20,2,34.67,3,DEALER WIN,Player first card: 8 | Dealer upcard: 3 | Player second card: Q | Dealer hole card drawn hidden: A | No dealer blackjack peek needed | Player stays | Dealer hole card revealed: A | Dealer hits: 2 | Dealer hits: 4,Completed hand
